Iterations,Build_NlogN,Build_N
5460010,0.127000,0.097000
5470010,0.128000,0.099000
5480010,0.129000,0.100000
5490010,0.128000,0.099000
5500010,0.127000,0.098000
5510010,0.129000,0.100000
5520010,0.128000,0.111000
5530010,0.129000,0.104000
5540010,0.131000,0.104000
5550010,0.134000,0.103000
5560010,0.129000,0.103000
5570010,0.130000,0.104000
5580010,0.130000,0.104000
5590010,0.130000,0.105000
5600010,0.167000,0.106000
5610010,0.132000,0.103000
5620010,0.130000,0.106000
5630010,0.137000,0.115000
5640010,0.133000,0.101000
5650010,0.128000,0.105000
5660010,0.131000,0.101000
5670010,0.133000,0.103000
5680010,0.133000,0.100000
5690010,0.134000,0.105000
5700010,0.133000,0.102000
5710010,0.133000,0.101000
5720010,0.134000,0.103000
5730010,0.133000,0.103000
5740010,0.136000,0.102000
5750010,0.133000,0.104000
5760010,0.136000,0.106000
5770010,0.133000,0.116000
5780010,0.135000,0.111000
5790010,0.145000,0.106000
5800010,0.135000,0.103000
